,Patient,Direction,Magnitude,Cz_1,Cz_2,Cz_3,Cz_4,Agonist_1,Agonist_2,Agonist_3,Agonist_4,Agonist_5,Agonist_6,Agonist_7,Agonist_8
60,HOA13,90,5,5.767354635,0.015889623,2.82e-10,0.136401785,5.318870526,0.030267648,0.037954594,0.128225871,1.660236031,5.19e-07,0.003392075,0.215234649
61,HOA13,90,7.5,2.983893954,0.007964682,3.82e-11,0.124518402,4.386098189,0.016315682,0.037582659,0.117536085,2.664404186,9.67e-07,0.007109942,0.19281583
62,HOA13,90,10,2.1823603,0.006710138,1.49e-08,0.126428839,2.535137361,0.021268725,0.010666638,0.127493351,1.203846843,2.39e-07,0.013624551,0.187379383
63,HOA13,270,5,5.980612247,0.012037349,1.5e-10,0.131530625,5.136929708,0.023609093,0.023423881,0.12439252,1.995282678,1.95e-09,4.64e-09,0.268764587
64,HOA13,270,7.5,3.729224188,0.006833182,1.23e-08,0.122609908,3.334745621,0.021688441,0.025878223,0.14228874,0.915579192,1.17e-08,0.005069842,0.261610225
65,HOA13,270,10,3.285935512,0.004855103,2.92e-09,0.116705695,3.074154419,0.010670642,0.051475044,0.135306846,1.148367941,1.15e-06,8.82e-09,0.249999998
66,HOA14,90,5,7.856017827,0.015265597,2.52e-09,0.107486382,7.190324165,0.014510592,2.23e-09,0.107360921,2.401418323,6.82e-08,1.26e-07,0.27067555
67,HOA14,90,7.5,5.094063814,0.011728313,8.46e-09,0.098172551,6.322068445,0.013396169,0.020067923,0.099443149,3.034112968,1.93e-09,5.65e-09,0.263579769
68,HOA14,90,10,3.969642045,0.010964187,1.95e-09,0.095457655,4.311575899,0.014980605,0.035488073,0.100383682,2.543186692,1.05e-06,0.001888895,0.22447074
69,HOA14,270,5,6.839930804,0.018814292,7.58e-09,0.109679833,5.325642419,0.045742875,9.57e-07,0.118134558,2.418421105,9.91e-07,9.88e-07,0.249999862
70,HOA14,270,7.5,5.62233594,0.012814523,3.92e-09,0.096286805,3.490281729,0.024160211,0.003186373,0.118608543,1.561206755,0.000753102,5.43e-09,0.263368364
71,HOA14,270,10,4.391647981,0.00924406,1.3e-09,0.094675566,3.695946284,0.02502374,0.038922026,0.116502635,1.110323024,0.001659507,0.000405594,0.249999998
72,HOA15,90,5,7.876914323,0.021218529,1.53e-09,0.111476378,5.879874611,0.027890906,1.01e-06,0.118532928,2.998941044,2.58e-10,0.000376688,0.192185623
73,HOA15,90,7.5,5.104079423,0.008668458,4.39e-09,0.108723704,3.544020497,0.026881119,2.87e-07,0.118632895,1.551505374,6e-10,0.026095277,0.221616144
74,HOA15,90,10,3.896225757,0.00787279,2.15e-10,0.101819916,3.712031518,0.01774729,0.041098976,0.096779649,2.210081132,0.001236318,0.038141018,0.180422617
75,HOA15,270,5,5.978142337,0.020286496,3.74e-11,0.10459814,4.746716427,0.009754912,3.66e-06,0.104298339,1.137766434,0.000349486,1.83e-07,0.299999649
76,HOA15,270,7.5,4.38921733,0.014394367,4.28e-10,0.09846062,5.074590913,0.00827021,1.63e-08,0.105515473,1.108674246,0.000416376,1.48e-08,0.299999943
77,HOA15,270,10,3.99946784,0.009,0.009000001,0.09442679,2.578674796,0.011416519,0.010946648,0.089532874,1.341867544,1.54e-09,0.001429519,0.14799979
78,HOA16,90,5,7.289319676,0.004392732,6.29e-10,0.124899017,5.735956686,0.01801608,0.009010083,0.114339531,3.998175949,1.34e-08,9.15e-06,0.170343779
79,HOA16,90,7.5,4.598498348,0.004458237,8.33e-09,0.112389829,4.007955438,0.023329272,8.96e-08,0.105109508,2.030371689,3.63e-09,0.011012849,0.168673277
80,HOA16,90,10,3.196776334,0.00040831,7.93e-10,0.115532535,3.545064811,0.015824931,0.03542719,0.114160301,1.718539837,2.73e-10,0.025130785,0.22247646
81,HOA16,270,5,6.46141621,0.004921998,3.75e-09,0.124362623,4.793784025,0.005460246,0.053904704,0.095264382,2.699608128,4.25e-10,0.002230191,0.166466886
82,HOA16,270,7.5,4.960603652,0.006053184,2.5e-11,0.120542998,4.04114817,0.008153745,0.043931655,0.122670056,2.51959035,1.02e-09,3.96e-06,0.161043877
83,HOA16,270,10,3.577842391,0.005067266,3.9e-11,0.11460963,3.45608293,0.005672212,0.057331648,0.127364636,1.721061869,1e-06,0.009584277,0.184505923
84,HOA17,90,5,7.415826326,0.016509171,1.42e-10,0.140560985,5.393637953,0.023998111,1.01e-06,0.131661719,2.024066004,1.69e-10,2.06e-06,0.210673702
85,HOA17,90,7.5,4.509410183,0.016530976,1.66e-09,0.126243855,4.267741643,0.025622609,7.69e-07,0.124782501,1.705351893,4.23e-08,1.1e-06,0.203322141
86,HOA17,90,10,3.019529996,0.010344223,1.03e-10,0.129125939,3.275315791,0.014516439,0.038383647,0.122347296,1.489556292,3.33e-07,0.02156512,0.232497612
87,HOA17,270,5,5.230849155,0.001337467,7.81e-11,0.133000913,5.050927527,0.012889619,0.02045659,0.249999984,5.044876116,2.68e-06,5.29e-06,0.299998987
88,HOA17,270,7.5,4.31549338,3.22e-10,7.22e-08,0.126399049,3.492090433,0.012541426,0.030022016,0.099757817,1.364637848,0.001444329,0.002632261,0.244043871
89,HOA17,270,10,2.804855707,0.000829968,0.001337205,0.126302358,2.741535876,0.008091073,0.016441433,0.102250271,1.451200896,0.001068101,0.002110704,0.299999991
90,HOA18,90,5,5.136042644,0.014251461,4.46e-09,0.154688579,3.674200049,0.017967839,1.72e-08,0.144418739,1.497443512,1.62e-09,1.6e-06,0.203553768
91,HOA18,90,7.5,3.147407546,0.009934062,0.002143551,0.14018945,3.634678996,0.01738053,1e-06,0.133642518,2.280978459,1e-06,1.01e-06,0.198367108
92,HOA18,90,10,1.881144292,0.007361383,0.006465448,0.144949885,2.969343334,0.019512833,0.008025646,0.138474961,1.014693852,9.66e-07,0.004302761,0.198713599
93,HOA18,270,5,5.596676559,0.008389709,2.82e-10,0.148744666,5.995887795,0.00934021,0.022068887,0.152485335,1.33219029,4.75e-09,0.000113777,0.224449245
94,HOA18,270,7.5,3.850005959,0.010927133,3.85e-09,0.139413483,3.655063087,0.015287955,0.005622666,0.13312681,1.525060851,3.21e-10,0.001573007,0.187439904
95,HOA18,270,10,3.087988783,0.006202002,2.71e-09,0.140937561,2.878328288,0.00999397,0.03471157,0.128569136,1.232153101,1.02e-06,0.001645359,0.187356357
96,HOA19,90,5,7.545320229,0.014506329,0.043998968,0.189433792,5.074353438,0.026201406,0.039999988,0.155511142,2.922924715,2.98e-10,0.021290708,0.26065904
97,HOA19,90,7.5,3.508555316,0.013116391,0.003781743,0.13900579,3.029121445,0.020383241,0.028412412,0.135452085,1.426327285,2.83e-07,0.030068945,0.249995548
98,HOA19,90,10,3.836170847,0.006162207,5.75e-09,0.201534661,2.712890044,0.011284943,0.036015185,0.143383821,1.086213429,9.75e-09,0.03070912,0.249999759
99,HOA19,270,5,5.702038609,0.032209535,0.043999992,0.161596609,3.498397786,0.018204125,0.007387396,0.113497965,1.332576622,2.95e-10,0.004867435,0.177399812
100,HOA19,270,7.5,4.630598313,0.0069626,0.008979997,0.134458386,4.322915052,0.008231627,0.011528221,0.118483566,2.016157717,3.58e-09,0.002854608,0.1903344
101,HOA19,270,10,2.203002062,0.005785451,0.005958733,0.133162715,3.262237987,0.015958127,0.000324282,0.115103191,1.346489601,2.52e-10,0.009844774,0.189708412
102,HOA20,90,5,6.436560496,0.026021609,4.71e-10,0.13364659,5.610095539,0.031625086,0.031285878,0.129571551,2.778633187,1.58e-10,0.022491609,0.205558624
103,HOA20,90,7.5,4.950411192,0.016367987,0.003265807,0.129483989,4.184595258,0.036555785,0.027348414,0.127886118,2.064200301,7.54e-12,0.032173398,0.27660462
104,HOA20,90,10,3.155385714,0.010821731,2.04e-09,0.120464856,2.611900794,0.020189992,0.048249095,0.131650238,1.46127065,1e-06,0.029324089,0.194498203
105,HOA20,270,5,4.761397746,0.023201206,0.031789493,0.148305749,0.680897963,0.002370865,0.034132239,0.130405164,0.33625803,5.5e-08,0.003752334,0.193950875
106,HOA20,270,7.5,3.572924451,0.014722368,0.019942194,0.133392724,0.820317071,0.00197541,0.043676673,0.127043609,0.324653429,3.2e-08,0.008411513,0.190116351
107,HOA20,270,10,3.176004612,0.013082316,0.007303985,0.125357411,0.669284525,0.002915606,0.035624982,0.136501469,0.28232279,5.15e-07,4.99e-07,0.188615988
108,PD02,90,5,8.381947268,1.02e-09,3.11e-09,0.127128337,9.463860989,0.044531828,0.02624179,0.11769541,2.4988108,0.000232104,9.99e-07,0.241649111
109,PD02,90,7.5,5.502455591,4.38e-08,1.34e-07,0.123573646,5.472246769,0.027960237,0.018286075,0.108330631,1.833890721,2.27e-10,0.017578458,0.173529303
110,PD02,90,10,4.793155975,1.58e-09,1.76e-08,0.123228271,4.514989689,0.019768095,0.034274534,0.110271007,1.986875739,2.17e-10,0.01592766,0.179452435
111,PD02,270,5,7.14429995,7.34e-09,1.02e-08,0.135621805,7.299736774,0.018417519,0.012717278,0.123173271,1.213284836,2.01e-10,0.008100903,0.185667956
112,PD02,270,7.5,4.741761293,2.13e-09,8.62e-09,0.121329793,4.407177306,0.009168498,0.035091448,0.114857802,1.992205986,1e-06,1e-06,0.185460473
113,PD02,270,10,4.618094219,1.07e-09,3.27e-09,0.118569001,3.67502966,0.010748997,0.044755435,0.105667382,1.71888797,1e-06,1e-06,0.211499836
114,PD03,90,5,11.55425315,0.003710372,5.57e-10,0.117600314,7.215483664,0.008722423,0.035751219,0.104531669,2.470767044,0.002291932,0.002784346,0.225685516
115,PD03,90,7.5,5.37034767,1.27e-07,1.99e-07,0.112049388,3.598300859,0.015328893,0.0142536,0.09760755,1.786464027,0.000235338,0.005393773,0.243499785
116,PD03,90,10,3.415518375,1.67e-09,4.27e-09,0.1093264,2.993796856,0.010178989,0.026567386,0.087399136,1.214309126,0.001739919,0.005199202,0.236336007
117,PD03,270,5,6.438882413,9.39e-09,1.09e-08,0.129945066,5.372587853,0.016190079,0.008899187,0.13056349,2.05007766,0.002194061,1.04e-09,0.293579709
118,PD03,270,7.5,4.804147618,4.11e-10,1.67e-09,0.119792518,3.884578651,0.015791911,0.021753402,0.122729306,3.09761297,1.14e-06,2.89e-07,0.285301188
119,PD03,270,10,2.811359943,6.77e-08,9.83e-07,0.123762215,3.459753626,0.014208638,0.028279272,0.125052889,2.338530157,6.57e-10,4.23e-08,0.286545226
120,PD04,90,5,10.28678137,0.014376703,2.04e-09,0.141394563,7.142421575,0.022090605,8.8e-10,0.137724239,2.234751528,2.47e-10,1.15e-08,0.204411124
121,PD04,90,7.5,3.78033598,0.006411367,9.21e-11,0.135685109,4.343561258,0.027090391,4.62e-07,0.140191849,1.568439744,5.26e-07,6.71e-07,0.208473006
